idx,case_idx,key,seconds,pesq,estoi,sdr,proj_sdr,si_sdr,sdr_mix,proj_sdr_mix,si_sdr_mix,sdr_i,proj_sdr_i,si_sdr_i,interferer_si_sdr,target_margin_db,target_confusion_rate
0,0,050a0501_1.7783_442o030z_-1.7783_050o0207,4.408625,3.8507885932922363,0.898796636882401,19.894047478367476,19.413885203674983,19.414141122136122,2.2772612681640876,2.2147229652929115,2.2147275576041174,17.616786210203387,17.199162238382073,17.199413564532005,-35.19261912800679,54.60676025014291,0.0
0,1,050a0501_1.7783_442o030z_-1.7783_442o030d,4.408625,2.9026970863342285,0.8991281126605637,17.32959600006589,17.011099700962312,17.01135379486822,-1.8706386963718522,-2.1355650477535755,-2.1355573301184663,19.200234696437743,19.14666474871589,19.146911124986687,-32.81964361517841,49.83099741004663,0.0
1,0,050a0502_1.3461_440o030j_-1.3461_050a050c,4.862375,3.2961862087249756,0.8306419260946367,15.336555910827327,14.97459575119193,14.976002901095312,2.3991706974075906,2.261500979853498,2.261460715248717,12.937385213419736,12.713094771338433,12.714542185846595,-24.310831954697836,39.286834855793145,0.0
1,1,050a0502_1.3461_440o030j_-1.3461_440c0211,4.862375,3.224858045578003,0.8916800830587905,13.661361081234318,13.228519278589774,13.229838708580573,-1.464423618873583,-1.85303221790464,-1.8528717170401323,15.125784700107902,15.081551496494413,15.082710425620705,-24.01272131358028,37.24256002216085,0.0
2,0,050a0502_1.463_420a010o_-1.463_050a050j,4.862375,3.3240468502044678,0.7387350612558562,16.99691426271581,16.465293364061317,16.46830311697451,1.8568950938602224,1.72552084859749,1.725528722861873,15.140019168855586,14.739772515463827,14.742774394112638,-29.394402062163625,45.86270517913813,0.0
2,1,050a0502_1.463_420a010o_-1.463_420c020u,4.862375,3.495452404022217,0.913882350795756,15.839637252675317,15.457210293816452,15.46035158022593,-1.5668589527538177,-1.7544338690312664,-1.7542419196214314,17.406496205429136,17.21164416284772,17.21459349984736,-32.47760426464394,47.93795584486987,0.0
3,0,050a0502_1.9707_440c020w_-1.9707_050c010e,4.862375,3.837991952896118,0.8375057691864269,18.200712437721954,17.770347561005483,17.772676749147248,3.0196636566509474,2.9477293810180893,2.9476457063802988,15.181048781071006,14.822618179987394,14.825031042766948,-36.02280118084797,53.795477929995215,0.0
3,1,050a0502_1.9707_440c020w_-1.9707_440c020t,4.862375,3.100351333618164,0.8708192678574713,16.01292239217712,15.508944779397444,15.51016264050757,-2.751449762433336,-3.0614542185638443,-3.0613316992239485,18.764372154610456,18.570398997961288,18.57149433973152,-35.710552831824636,51.2207154723322,0.0
4,0,050a0504_2.4414_443o0313_-2.4414_050o020g,5.61225,3.743288040161133,0.8674339053208364,19.654684212383497,19.160565427134323,19.161618585027945,4.605096933946627,4.561800818490767,4.561757898867484,15.04958727843687,14.598764608643556,14.599860686160461,-37.57669602769936,56.73831461272731,0.0
4,1,050a0504_2.4414_443o0313_-2.4414_443c0207,5.61225,3.314878463745117,0.9277402287624994,16.1010321654169,15.658102139317835,15.658355267719266,-4.271555668166517,-4.557233616017189,-4.557195944113885,20.372587833583417,20.215335755335026,20.21555121183315,-34.538747982989996,50.19710325070926,0.0
5,0,050a0505_1.5097_440o030d_-1.5097_050a050g,5.88725,3.4608359336853027,0.82990239498235,16.381090032844558,15.704079031660097,15.70424236144359,1.6670773515806172,1.612062382637668,1.6120674409977092,14.71401268126394,14.09201664902243,14.092174920445881,-29.090608225606438,44.79485058705003,0.0
5,1,050a0505_1.5097_440o030d_-1.5097_440o030z,5.88725,3.4346160888671875,0.9143521097775116,14.300547484246671,13.981480717043969,13.98154057989249,-1.3466882014857064,-1.4936719432683452,-1.493667684686366,15.647235685732378,15.475152660312315,15.475208264578857,-28.60604588470137,42.58758646459386,0.0
6,0,050a0506_1.7744_447c0213_-1.7744_050o020t,4.739375,3.929511070251465,0.9142139729265454,20.962434105899533,20.538405953031848,20.539746223808915,4.7191067349936064,4.610608819393904,4.610569983415797,16.243327370905927,15.927797133637945,15.929176240393119,-43.51790758787358,64.0576538116825,0.0
6,1,050a0506_1.7744_447c0213_-1.7744_447c020d,4.739375,3.0013580322265625,0.7881197137983459,16.419707715339605,15.82791351819208,15.828525300050204,-4.572913589666813,-4.745247247555776,-4.745159512575765,20.992621305006416,20.573160765747858,20.57368481262597,-44.80528863135469,60.633813931404895,0.0
7,0,050a0506_1.9887_447c0215_-1.9887_050c010s,5.72625,3.836453914642334,0.8633346809555611,19.624162776493687,19.264026866817538,19.26666356859769,3.3261919928844907,3.270041891406292,3.27000786463222,16.297970783609195,15.993984975411246,15.99665570396547,-34.08989430247429,53.356557871071985,0.0
7,1,050a0506_1.9887_447c0215_-1.9887_447c020b,5.72625,3.0150153636932373,0.8450329220690636,16.501151880258995,16.01792395044868,16.019116609406485,-2.9758718837347353,-3.2012338245177214,-3.201041380262371,19.47702376399373,19.2191577749664,19.220157989668856,-35.099453794423056,51.11857040382954,0.0
8,0,050a0507_0.75154_423a010l_-0.75154_050c0106,5.68525,3.6766467094421387,0.8751974816207044,16.236060859125146,15.59277020034795,15.593576625660875,1.7147620385388573,1.5840761832181238,1.5840039798861496,14.521298820586289,14.008694017129827,14.009572645774725,-32.79053797618495,48.38411460184582,0.0
8,1,050a0507_0.75154_423a010l_-0.75154_423c0207,5.68525,3.648883581161499,0.932011845088481,14.609809283108458,14.088642856053614,14.089192635642988,-1.3541140891294567,-1.6148830090991173,-1.6147758045715441,15.963923372237915,15.70352586515273,15.703968440214531,-29.631489269872855,43.720681905515846,0.0
9,0,050a0508_0.19796_423a010l_-0.19796_050a0505,5.16825,3.690937042236328,0.8212714140769277,17.54179145331256,16.94843372252668,16.94909940619882,-0.20180997075468113,-0.26263470589228727,-0.2627045092915684,17.74360142406724,17.21106842841897,17.21180391549039,-34.93317877276028,51.8822781789591,0.0
9,1,050a0508_0.19796_423a010l_-0.19796_423a0106,5.16825,3.4818167686462402,0.9419951894024514,17.522907499103106,17.27701130419088,17.278505071837632,0.23863959617729383,0.19167909521555174,0.19178862087498985,17.284267902925812,17.085332208975327,17.08671645096264,-36.61042402192209,53.88892909375973,0.0
10,0,050a0508_0.25679_052a050a_-0.25679_050c0109,4.6765,3.534515857696533,0.8649652660998975,16.69965462985015,16.12525584817228,16.125938660503053,0.17971301397854342,0.013303730598183716,0.01324534715343416,16.51994161587161,16.111952117574095,16.11269331334962,-37.44855001941837,53.57448867992142,0.0
10,1,050a0508_0.25679_052a050a_-0.25679_052a050p,4.6765,3.5545942783355713,0.92302664247783,16.2284863945762,15.851307325857123,15.851886441745947,-0.15527134271668364,-0.25487087510586715,-0.25481502216714963,16.383757737292886,16.10617820096299,16.106701463913097,-40.60751226403757,56.459398705783514,0.0
11,0,050a0508_1.4465_22gc0102_-1.4465_050a050k,4.62,3.5695321559906006,0.8438241043629172,18.55772870001432,18.056431768053972,18.05765595416608,1.6834283497917553,1.5799716549673803,1.5799532042347306,16.874300350222565,16.476460113086592,16.47770274993135,-45.477465113308554,63.535121067474634,0.0
